year,Uganda,Nigeria,Rwanda,Senegal,Ethiopia,Algeria,"Egypt, Arab Rep.",South Africa,Morocco,Ghana,Brazil,Colombia,Paraguay,Guatemala,Haiti,Canada,United States,Chile,Argentina,Panama,Philippines,Bangladesh,India,Nepal,Pakistan,China,Singapore,Japan,Malaysia,Thailand,Hungary,Romania,Serbia,Bulgaria,Ukraine,Switzerland,Norway,Iceland,Denmark,Sweden,Oman,Jordan,Lebanon,Iraq,"Yemen, Rep.",United Arab Emirates,Israel,Bahrain,Qatar,Saudi Arabia,Australia,New Zealand,Palau,Kiribati,Marshall Islands,"Micronesia, Fed. Sts.",Nauru,Samoa,Solomon Islands,Tonga
1960,55.3784976132181,93.1370090424417,39.3740728069473,300.425115236279,75.3396090705961,238.392476666447,156.387390904103,532.147504330332,174.784133911133,174.858856531804,235.266009502589,258.304433616071,153.375216758109,256.813115286608,70.8024454423715,2264.94849658191,2999.86487154495,504.087277008837,1160.30659798113,477.037935000289,269.465146474794,82.4812774116354,84.9328084793106,50.2125233749587,82.0241000071912,89.5202142368479,428.056183371291,508.702779291773,240.847414554537,102.814571454958,474.880214413036,1658.75873899995,2349.40645150289,2238.80295786574,1244.04125976563,1954.3113206427,1451.2850779894,1436.25885405655,1389.0213943225,2128.38884406565,83.3853058553192,545.513861689675,959.153901867443,218.917802531101,910.422465960748,2394.06811471055,1449.76140897192,1741.82245407152,2593.82296339752,717.796628958557,1810.7064295701,2334.13382506632,1017.15701970443,201.023774667798,373.212871726587,337.4957740742,2618.53445937725,321.996706619559,153.450784088184,349.470975414391
1961,56.1759278091596,97.1375281143562,39.2689714974898,308.166383753301,76.7301966411733,209.370672655334,162.841637332882,545.657511922673,169.318435668945,181.870010833085,231.564063269854,282.099440509948,167.092827495951,257.20215058952,68.99056510131,2246.08356619252,3059.16082086127,580.102457120073,1160.30659798113,516.459861881073,283.794741192369,90.3685786294248,87.8538613470205,51.5544820747585,87.7778246966181,75.8055607913604,449.148136820776,608.864581144951,232.943768818315,109.728794269464,474.880214413036,1658.75873899995,2349.40645150289,2238.80295786574,1244.04125976563,2155.44996908648,1570.63804374719,1439.44972356432,1530.53779004389,2304.49788603539,84.5311599037984,545.513861689675,959.153901867443,232.392612190864,910.422465960748,2394.06811471055,1694.10902871325,1741.82245407152,2593.82296339752,760.311740320004,1877.70706376424,2364.75394399361,1017.15701970443,201.023774667798,373.212871726587,337.4957740742,2618.53445937725,321.996706619559,153.450784088184,349.470975414391
1962,55.5048704604887,104.532495533943,39.2338440533266,307.092565107939,77.7901849782504,169.60286272133,142.409573017439,563.423008817945,193.647811889648,188.421016299893,250.200572910273,298.543861741321,182.805194132375,265.21065183936,70.4464617057034,2274.4284708191,3236.01311150062,662.73347569252,1160.30659798113,545.570446272529,166.689221357377,92.5894211769315,92.1999583629516,54.565608932967,89.5039525753413,70.9091524330558,472.082740153988,684.565509797705,238.836339180717,116.179493337844,474.880214413036,1658.75873899995,2349.40645150289,2238.80295786574,1244.04125976563,2330.47736501501,1678.26725653992,1585.721437797,1711.2181376602,2485.49414710873,102.325884133491,545.513861689675,959.153901867443,240.653442461626,910.422465960748,2394.06811471055,1291.14207507409,1741.82245407152,2593.82296339752,812.926247668855,1854.74615414162,2471.05511866341,1017.15701970443,201.023774667798,373.212871726587,337.4957740742,2618.53445937725,321.996706619559,153.450784088184,349.470975414391
1963,61.9553768191835,107.675741358944,39.2771771983712,308.629849224244,79.1726343703284,225.584660210993,143.928398657862,604.536855270991,210.635650634766,205.037422391885,294.169619376733,282.588330302742,189.872423489268,284.397504292538,72.3983493523801,2380.31732899108,3366.36978960346,644.892060427145,852.972425139433,586.61668793076,179.464434045296,94.1423742967849,103.435021262932,46.3146629740628,93.6508728613463,74.3133717692149,511.202235371449,775.592123080162,291.800006993807,120.658598748696,474.880214413036,1658.75873899995,2349.40645150289,2238.80295786574,1244.04125976563,2508.47430732203,1787.31853394909,1859.24836167773,1807.25279179793,2675.10362417593,106.829305977737,545.513861689675,959.153901867443,235.513623763733,910.422465960748,2394.06811471055,1483.52869124093,1741.82245407152,2593.82296339752,811.738274661234,1967.21127365791,2646.2366468678,1017.15701970443,201.023774667798,373.212871726587,337.4957740742,2618.53445937725,321.996706619559,153.450784088184,349.470975414391
1964,68.6259930194368,113.297345671875,38.9824483017745,317.850426568454,83.8368648270969,238.863801545015,157.71653227217,645.873375685446,216.263046264648,224.968154393354,257.259726897671,338.675935298365,196.973355774177,284.197970339364,78.4520158485608,2561.63849088572,3565.31443016356,674.490140027232,1176.20086190313,611.100612960754,188.153783582113,92.5782977938389,117.856430772855,45.320757315163,102.45976384531,85.4982425898924,485.530686047381,902.867721515126,302.933952345239,128.642226903734,474.880214413036,1658.75873899995,2349.40645150289,2238.80295786574,1244.04125976563,2734.93009044177,1950.69324222931,2332.47365785423,2049.39724281483,2961.06283239536,108.059741020755,545.513861689675,959.153901867443,269.423092996101,910.422465960748,2394.06811471055,1622.94713795895,1741.82245407152,2593.82296339752,840.480371460232,2131.38029982805,2839.31567298721,1017.15701970443,201.023774667798,373.212871726587,337.4957740742,2618.53445937725,321.996706619559,153.450784088184,349.470975414391
1965,99.9527652325075,117.287226824734,43.4679672003763,314.318146394326,88.8500294110243,253.622059985778,161.567123566919,684.62122774035,221.967697143555,260.50559523622,268.028760553723,317.064563351518,208.729579506696,282.97764170403,83.6332514169638,2777.18317301162,3818.28825117968,677.767796222752,1281.83337976859,651.331374848625,199.763575376063,98.6041470420746,121.50831902883,65.8050690424137,113.567206414596,98.4864176995115,516.531928636745,993.732722209078,326.436007443045,140.899873696781,474.880214413036,1658.75873899995,2349.40645150289,2238.80295786574,1244.04125976563,2865.2448479366,2178.77508111808,2764.47356483879,2284.22850484956,3227.91678230659,108.127276326149,545.513861689675,959.153901867443,284.77757098584,910.422465960748,2394.06811471055,1685.90010698784,1741.82245407152,2593.82296339752,904.118334125664,2281.11030526567,2170.99819416658,1017.15701970443,201.023774667798,373.212871726587,337.4957740742,2618.53445937725,321.996706619559,153.450784088184,349.470975414391
1966,101.435414620908,124.382440176253,35.3602860886258,314.534344145945,93.1549467874985,241.44896961658,168.054342944501,721.75375941418,210.824432373047,263.334589411514,328.343791519407,290.253385958132,213.947608399441,287.277848723331,85.7493738145357,3055.28807884507,4136.30829579106,780.096923247761,1275.07843418966,688.846978762789,213.849586020843,104.42205467886,91.0276950517841,79.484178651631,122.229353754713,104.32418478637,566.803974405961,1143.60789652395,338.570121454412,164.533414431069,474.880214413036,1658.75873899995,2349.40645150289,2238.80295786574,1244.04125976563,3044.84560389449,2332.51059866098,3264.04742660905,2487.13627144432,3477.93731316877,113.158851470616,558.402981092455,959.153901867443,298.205666763491,910.422465960748,2394.06811471055,1785.65063547398,1741.82245407152,2593.82296339752,960.744776733843,2343.9159187567,2211.38232224774,1017.15701970443,201.023774667798,373.212871726587,337.4957740742,2618.53445937725,321.996706619559,153.450784088184,349.470975414391
1967,102.80034732844,99.5014906604697,43.9610505576821,305.22048105837,96.0864747436757,261.792442124002,174.103044536176,778.839335829791,217.304306030273,211.219296540365,351.472600370379,302.832507824134,220.930909757875,291.934180943356,84.217267674485,3226.38273682011,4325.95935063186,754.896175404019,1063.93283833587,744.890928311974,223.124766332659,114.209881696109,97.9951481214155,72.255603368576,135.190474942968,96.5891788251155,626.029437593984,1326.36103912253,335.425630582949,170.666971518706,474.880214413036,1658.75873899995,2349.40645150289,2238.80295786574,1244.04125976563,3237.27315217356,2530.66057799458,3172.64877052559,2700.74637883336,3746.2478747264,174.708442422448,496.922746235673,959.153901867443,290.643664484678,910.422465960748,2394.06811471055,1731.67626367394,1741.82245407152,2593.82296339752,1031.60360297585,2580.11059164641,2208.44223567277,1017.15701970443,201.023774667798,373.212871726587,337.4957740742,2618.53445937725,321.996706619559,153.450784088184,349.470975414391
1968,106.851228104531,97.3372081255964,45.9934717054709,311.196146846683,99.4743651000667,292.436036368561,179.774096694265,817.128340614066,227.120864868164,196.668571830464,373.925432639683,301.526502784249,226.80197812329,314.666876118943,82.4057717596557,3473.23722551871,4684.58840293763,755.892552845633,1141.95211617341,778.476641666323,242.232067627814,114.414967470375,101.556802521195,64.8592419247839,141.558306459346,91.4723838962347,708.601436896422,1553.27139379996,342.444763417284,178.839752885801,474.880214413036,1658.75873899995,2349.40645150289,2238.80295786574,1244.04125976563,3413.49358157003,2679.71300438189,2389.88350467813,2776.13544525805,3953.12834043751,300.382394498902,408.842352820548,959.153901867443,318.832552563525,910.422465960748,2394.06811471055,1943.69837323735,1741.82245407152,2593.82296339752,1275.70709426176,2724.1306715175,1902.4219087344,1017.15701970443,201.023774667798,373.212871726587,337.4957740742,2618.53445937725,321.996706619559,166.888037688373,349.470975414391
1969,116.682296330854,121.436663307697,48.8699283215294,287.253148792203,102.280177675035,315.914655734237,192.964908828257,890.922089102936,246.799652099609,225.772621963554,399.49841913391,317.868798055367,238.242208450243,326.30273339901,86.1269803448153,3776.15613110238,5019.99818634473,863.569490435561,1329.56181832409,830.319752856442,261.090890369413,125.880311698198,109.477664384288,64.8179199463286,148.528512990071,100.129537206454,812.677487316618,1802.98028061972,368.385655484736,191.438734515692,525.511780457936,1658.75873899995,2349.40645150289,2238.80295786574,1244.04125976563,3657.20794240553,2894.23998236681,2069.85896390776,3151.13324311543,4262.97496488087,371.945677290612,474.427887073594,959.153901867443,319.860143218706,910.422465960748,2394.06811471055,2184.92749415975,1741.82245407152,2593.82296339752,1312.73865737123,2991.47727876684,2096.92656039438,1017.15701970443,201.023774667798,373.212871726587,337.4957740742,2618.53445937725,321.996706619559,165.857344778641,349.470975414391
