year,Uganda,Nigeria,Rwanda,Senegal,Ethiopia,Algeria,"Egypt, Arab Rep.",South Africa,Morocco,Ghana,Brazil,Colombia,Paraguay,Guatemala,Haiti,Canada,United States,Chile,Argentina,Panama,Philippines,Bangladesh,India,Nepal,Pakistan,China,Singapore,Japan,Malaysia,Thailand,Hungary,Romania,Serbia,Bulgaria,Ukraine,Switzerland,Norway,Iceland,Denmark,Sweden,Oman,Jordan,Lebanon,Iraq,"Yemen, Rep.",United Arab Emirates,Israel,Bahrain,Qatar,Saudi Arabia,Australia,New Zealand,Palau,Kiribati,Marshall Islands,"Micronesia, Fed. Sts.",Nauru,Samoa,Solomon Islands,Tonga,total
1970,192.7,284.0,222.0,289.0,247.2,238.8,246.5,,190.6,202.7,132.6,97.4,77.8,170.6,244.1,22.0,23.2,79.9,71.7,67.9,83.1,271.9,214.5,266.5,190.4,112.6,27.1,17.4,55.6,99.5,38.8,55.7,,32.4,,18.4,16.2,16.0,16.6,13.4,229.1,89.6,60.2,112.6,330.3,96.3,30.1,76.8,65.4,,21.5,20.8,80.5,140.9,79.0,82.6,,71.7,100.2,49.4,106.39666666666668
1971,192.4,276.2,225.2,283.9,247.0,234.5,242.8,,186.3,201.5,129.2,93.7,77.2,165.5,238.9,20.9,22.4,78.8,70.9,64.5,82.4,367.2,211.4,260.6,187.2,106.9,25.6,16.5,53.2,94.9,38.4,49.4,,31.1,33.2,17.6,15.6,15.4,15.8,12.9,216.8,85.2,59.8,107.4,317.9,87.3,29.1,69.4,61.1,,21.0,20.3,76.8,136.2,76.1,79.3,,68.4,93.3,46.2,105.64499999999998
1972,193.2,268.0,229.0,277.6,246.4,229.0,238.4,,182.4,199.3,125.8,90.0,76.4,160.5,233.4,19.9,21.5,77.7,69.8,60.9,82.1,227.5,208.1,254.9,184.2,101.3,23.9,15.7,50.6,90.3,38.5,46.7,,30.2,32.1,16.7,15.0,14.8,14.9,12.3,204.5,81.1,59.3,102.5,306.1,79.0,28.2,62.9,57.2,159.7,20.3,19.8,73.0,132.1,73.6,76.4,,65.1,86.8,43.5,103.16833333333336
1973,195.1,259.7,234.0,270.3,246.2,222.4,232.8,,178.3,196.1,122.4,86.1,75.4,155.5,228.1,18.9,20.6,75.4,68.2,57.4,81.9,226.9,204.5,249.3,181.2,95.7,21.8,14.9,47.9,85.8,38.4,45.6,,29.6,31.2,15.8,14.3,14.1,13.9,11.6,192.4,77.2,58.8,97.9,294.9,71.5,27.2,57.1,53.6,149.1,19.4,19.4,69.0,128.9,71.6,73.7,,62.1,80.9,41.0,100.21666666666667
1974,198.1,251.4,239.6,262.1,246.1,214.9,225.6,129.3,173.7,191.7,119.0,82.1,74.3,150.5,222.6,17.9,19.7,71.0,66.1,54.3,81.8,225.9,200.4,243.8,178.5,90.2,19.5,14.0,45.1,81.6,37.3,44.3,,29.1,30.3,14.8,13.6,13.5,13.1,11.0,180.4,73.6,58.2,93.5,283.8,64.5,26.1,52.1,50.3,139.5,18.4,18.9,64.9,126.6,69.9,71.2,,59.1,75.3,38.9,99.38333333333338
1975,202.2,243.4,245.8,252.8,245.8,206.6,217.0,122.9,168.4,186.8,115.6,78.1,73.1,145.6,217.0,17.0,18.8,64.3,63.3,51.6,81.8,224.1,195.9,238.2,176.0,84.7,17.5,13.3,42.3,77.6,35.2,42.4,,28.6,29.5,13.8,12.9,12.9,12.3,10.3,168.5,70.1,57.3,89.4,272.2,58.2,24.8,47.7,47.3,130.5,17.3,18.3,61.1,124.9,68.7,68.9,,56.2,78.2,36.9,96.365
1976,206.5,235.7,250.8,242.5,245.5,197.6,207.5,116.7,162.4,181.5,112.0,74.0,71.8,164.8,211.5,16.0,17.9,56.5,59.8,49.5,81.6,221.6,191.0,232.6,173.7,79.4,16.1,12.5,39.6,73.9,32.5,40.5,,27.9,28.9,12.9,12.2,12.2,11.7,9.8,156.6,66.8,56.3,85.4,260.1,52.4,23.4,43.9,44.6,122.2,16.2,17.7,57.5,123.5,67.9,66.9,,53.4,66.0,35.2,93.45166666666661
1977,210.9,228.7,251.9,231.8,245.1,188.1,197.7,110.7,155.8,176.5,108.3,69.9,70.3,136.0,206.1,15.1,17.1,48.8,55.7,47.7,81.3,218.4,185.7,226.7,171.4,74.4,15.4,11.8,37.1,70.4,29.6,38.8,,27.1,28.3,12.1,11.5,11.5,11.1,9.4,144.9,63.6,55.2,81.7,247.5,47.1,21.9,40.5,42.2,114.2,15.2,17.1,54.1,122.6,67.0,65.1,,50.7,61.9,33.6,89.83833333333335
1978,214.6,222.5,246.0,221.6,244.1,177.8,187.7,105.1,148.7,172.4,104.4,65.9,68.7,131.3,200.7,14.2,16.3,42.0,51.2,46.2,80.7,214.6,180.1,220.5,169.2,69.8,15.1,11.1,34.7,67.1,27.0,37.5,,26.0,27.8,11.4,10.9,10.9,10.6,9.0,133.2,60.7,53.8,78.3,234.6,42.2,20.5,37.6,40.0,106.8,14.4,16.6,51.2,121.6,66.2,63.5,,48.2,58.4,32.1,86.58833333333334
1979,217.0,217.3,234.0,212.5,242.8,166.4,177.9,99.8,141.6,169.4,100.2,62.1,67.0,126.7,195.5,13.3,15.6,36.8,46.7,44.8,79.9,210.3,174.6,214.1,167.1,65.9,14.9,10.5,32.5,64.0,25.0,36.7,,25.0,27.2,10.9,10.4,10.3,10.3,8.7,122.0,57.9,52.3,75.2,221.5,37.9,19.3,34.9,38.0,99.8,13.6,16.1,48.6,120.3,65.2,62.2,,45.8,55.3,30.8,83.37333333333336
