year,Uganda,Nigeria,Rwanda,Senegal,Ethiopia,Algeria,"Egypt, Arab Rep.",South Africa,Morocco,Ghana,Brazil,Colombia,Paraguay,Guatemala,Haiti,Canada,United States,Chile,Argentina,Panama,Philippines,Bangladesh,India,Nepal,Pakistan,China,Singapore,Japan,Malaysia,Thailand,Hungary,Romania,Serbia,Bulgaria,Ukraine,Switzerland,Norway,Iceland,Denmark,Sweden,Oman,Jordan,Lebanon,Iraq,"Yemen, Rep.",United Arab Emirates,Israel,Bahrain,Qatar,Saudi Arabia,Australia,New Zealand,Palau,Kiribati,Marshall Islands,"Micronesia, Fed. Sts.",Nauru,Samoa,Solomon Islands,Tonga,total
2010,76.2,135.3,63.8,66.3,82.5,27.8,28.7,51.6,31.2,69.7,18.6,18.4,25.9,34.8,136.5,5.7,7.3,8.7,14.5,18.5,29.6,49.1,58.1,48.1,87.3,15.7,2.8,3.2,8.1,12.5,6.0,12.4,7.6,10.8,11.7,4.6,3.3,2.7,4.1,3.1,11.7,20.2,12.6,34.8,55.1,8.8,4.6,8.7,9.1,12.2,4.8,6.2,19.5,58.4,39.1,34.7,37.5,19.3,26.5,13.2,28.99666666666666
2011,71.4,132.9,58.5,62.8,78.1,27.1,27.5,45.5,29.4,66.5,17.9,17.8,25.1,33.4,77.1,5.7,7.2,8.5,13.9,18.0,29.1,46.7,55.0,46.0,85.1,14.6,2.8,3.2,8.1,12.0,5.9,11.8,7.4,10.3,11.2,4.5,3.1,2.7,4.1,3.0,11.6,19.6,12.4,33.7,53.1,8.6,4.4,8.4,8.9,11.5,4.5,6.1,19.5,58.0,38.7,34.0,36.8,19.2,25.7,13.0,26.976666666666667
2012,66.6,130.9,54.9,59.6,73.9,26.5,26.3,41.7,27.8,63.3,17.2,17.2,24.4,32.0,75.3,5.6,7.1,8.4,13.3,17.7,28.7,44.5,52.0,43.9,82.9,13.5,2.8,3.0,8.1,11.5,5.7,11.2,7.1,9.8,10.6,4.4,3.0,2.6,4.1,3.0,11.5,19.1,12.3,32.6,51.6,8.4,4.3,8.2,8.7,10.8,4.3,6.0,19.7,57.9,38.1,33.2,36.0,19.1,25.0,12.8,26.02833333333332
2013,62.3,129.1,52.0,56.6,70.1,26.0,25.2,39.8,26.2,60.4,16.7,16.6,23.6,30.7,73.5,5.5,7.0,8.2,12.8,17.5,28.3,42.4,49.1,41.9,80.6,12.5,2.8,2.9,8.1,11.1,5.6,10.6,6.9,9.2,10.2,4.4,2.9,2.6,4.1,2.9,11.3,18.6,12.4,31.5,49.7,8.2,4.1,7.9,8.4,10.2,4.1,5.8,20.1,58.0,37.3,32.2,35.0,18.9,24.3,12.7,25.160000000000004
2014,58.9,127.7,49.6,53.7,66.5,25.7,24.2,38.6,24.8,57.7,16.3,16.1,22.9,29.5,71.7,5.4,6.9,8.1,12.2,17.3,28.1,40.4,46.3,39.9,78.4,11.5,2.7,2.8,8.1,10.7,5.3,9.9,6.6,8.7,9.8,4.3,2.8,2.6,4.1,2.9,11.2,18.0,12.5,30.6,48.6,7.9,4.0,7.8,8.1,9.6,4.0,5.7,20.6,58.4,36.4,31.4,34.1,18.7,23.6,12.5,24.38999999999999
2015,55.8,126.2,47.7,50.9,63.1,25.3,23.2,37.8,23.5,55.3,15.9,15.6,22.1,28.4,69.7,5.4,6.8,8.0,11.8,17.2,27.9,38.5,43.6,38.0,76.1,10.7,2.7,2.8,8.1,10.3,5.0,9.2,6.3,8.2,9.4,4.3,2.7,2.6,4.1,2.9,11.2,17.5,12.7,29.5,49.3,7.6,3.9,7.6,7.7,9.1,3.9,5.5,21.2,59.0,35.5,30.3,33.1,18.5,22.8,12.4,23.69
2016,52.6,124.5,46.1,48.3,59.9,24.9,22.4,37.2,22.3,53.0,16.7,15.1,21.5,27.3,67.8,5.3,6.7,7.8,11.4,17.1,27.9,36.8,41.1,36.2,73.8,9.9,2.7,2.7,8.2,10.0,4.7,8.5,6.1,7.7,9.2,4.2,2.6,2.6,4.0,2.8,11.1,17.0,13.0,28.6,47.9,7.3,3.8,7.5,7.4,8.6,3.8,5.3,21.9,59.6,34.5,29.5,32.2,18.4,22.2,12.3,23.025
2017,50.0,122.4,44.7,45.9,56.9,24.5,21.6,36.6,21.2,50.9,15.3,14.6,20.8,26.4,65.9,5.3,6.6,7.6,11.0,16.9,27.9,35.1,38.7,34.5,71.6,9.2,2.6,2.6,8.2,9.6,4.5,7.9,5.9,7.3,8.9,4.1,2.5,2.6,4.0,2.8,11.0,16.5,13.4,27.7,46.8,7.0,3.7,7.3,7.0,8.1,3.8,5.2,22.6,60.0,33.7,28.6,31.2,18.1,21.5,12.2,22.349999999999998
2018,47.7,119.9,43.4,43.7,54.3,24.0,20.9,36.1,20.3,48.9,15.0,14.2,20.1,25.4,64.1,5.2,6.5,7.4,10.6,16.5,28.0,33.6,36.4,32.8,69.4,8.6,2.5,2.5,8.1,9.3,4.3,7.3,5.8,7.0,8.7,4.1,2.5,2.7,3.9,2.7,10.9,16.0,14.0,26.8,47.2,6.7,3.7,7.2,6.6,7.7,3.8,5.1,23.0,60.1,32.7,27.6,30.1,17.8,20.8,12.0,21.73666666666666
2019,45.5,116.9,42.0,41.8,52.1,23.5,20.1,35.6,19.4,47.1,14.8,13.7,19.4,24.6,62.2,5.1,6.5,7.1,10.3,15.8,28.0,32.2,34.3,31.3,67.3,8.0,2.4,2.5,8.0,9.0,4.1,6.8,5.7,6.7,8.5,4.0,2.4,2.7,3.8,2.6,10.8,15.5,14.7,25.9,46.2,6.3,3.6,7.0,6.2,7.3,3.8,4.9,23.2,59.7,31.7,26.7,29.2,20.3,20.1,11.8,21.145
2020,43.6,113.9,40.5,40.0,49.9,22.9,19.4,35.3,18.6,45.3,14.5,13.3,18.7,23.7,60.2,5.1,6.4,6.9,10.0,15.0,28.0,31.0,32.4,29.8,65.1,7.5,2.3,2.4,8.0,8.7,4.0,6.5,5.5,6.5,8.4,4.0,2.3,2.7,3.7,2.6,10.7,15.1,15.5,25.1,43.5,5.9,3.5,6.9,5.9,7.0,3.8,4.8,23.0,58.8,30.7,25.8,28.3,17.1,19.5,11.5,20.449999999999992
2021,42.0,110.6,39.2,38.4,48.0,22.3,18.7,34.7,17.9,43.8,14.3,12.8,18.1,22.9,58.2,5.0,6.3,6.6,9.7,14.1,27.9,29.8,30.6,28.5,63.0,7.0,2.2,2.3,7.9,8.4,4.0,6.5,5.3,6.3,8.2,4.0,2.2,2.7,3.6,2.5,10.6,14.6,16.4,24.3,44.6,5.6,3.4,6.7,5.5,6.7,3.8,4.7,22.8,57.7,29.6,25.0,27.3,16.6,18.9,11.2,19.875
2022,40.5,107.2,38.0,37.0,46.2,21.8,18.1,34.5,17.3,42.3,14.0,12.4,17.4,22.1,56.5,4.9,6.3,6.3,9.4,13.3,27.5,28.8,29.1,27.3,61.0,6.6,2.2,2.3,7.8,8.1,4.0,6.8,5.1,6.1,8.5,4.0,2.2,2.6,3.5,2.5,10.5,14.1,17.4,23.5,41.3,5.3,3.4,6.5,5.2,6.4,3.8,4.6,22.3,56.4,28.6,24.2,26.5,16.1,18.3,10.9,19.27999999999999
2023,40.5,107.2,38.0,37.0,46.2,21.8,18.1,34.5,17.3,42.3,14.0,12.4,17.4,22.1,56.5,4.9,6.3,6.3,9.4,13.3,27.5,28.8,29.1,27.3,61.0,6.6,2.2,2.3,7.8,8.1,4.0,6.8,5.1,6.1,8.5,4.0,2.2,2.6,3.5,2.5,10.5,14.1,17.4,23.5,41.3,5.3,3.4,6.5,5.2,6.4,3.8,4.6,22.3,56.4,28.6,24.2,26.5,16.1,18.3,10.9,19.27999999999999
